id,question_len,num_word_in_question,answer_len,num_word_in_answer,num_word_in_token
56bc751eac7ad10019000013_001,46,14,14,5,119
56bc751eac7ad10019000013_002,46,14,14,5,119
56bc751eac7ad10019000013_003,46,14,14,5,80
56bc751eac7ad10019000013_004,46,14,14,5,183
56bc751eac7ad10019000013_005,46,14,14,5,90
56bc751eac7ad10019000013_006,46,14,14,5,61
56bc751eac7ad10019000013_007,46,14,14,5,189
56bc751eac7ad10019000013_008,46,14,14,5,182
56c1f01def6e394741000045_001,54,11,36,6,468
56c1f01def6e394741000045_002,54,11,36,6,468
56c1f01def6e394741000045_003,54,11,36,6,468
56c1f01def6e394741000045_004,54,11,36,6,468
56c1f01def6e394741000045_005,54,11,36,6,468
56c1f01def6e394741000045_006,54,11,36,6,301
56c1f01def6e394741000045_007,54,11,36,6,301
56c1f01def6e394741000045_008,54,11,36,6,258
56c1f01def6e394741000045_009,54,11,36,6,258
56c1f01def6e394741000045_010,54,11,36,6,271
56c1f01def6e394741000045_011,54,11,36,6,128
56c1f01def6e394741000045_012,54,11,36,6,468
56c1f01def6e394741000045_013,54,11,36,6,271
56c1f01def6e394741000045_014,54,11,36,6,272
56c1f01def6e394741000045_015,54,11,36,6,468
56af9f130a360a5e45000015_001,39,11,15,2,298
52bf1b0a03868f1b06000009_001,52,14,19,5,215
52bf1b0a03868f1b06000009_002,52,14,19,5,241
52bf1b0a03868f1b06000009_003,52,14,19,5,108
52bf1b0a03868f1b06000009_004,52,14,19,5,318
52bf1b0a03868f1b06000009_005,52,14,19,5,192
52bf1b0a03868f1b06000009_006,52,14,19,5,168
52bf1b0a03868f1b06000009_007,52,14,19,5,79
52bf1b0a03868f1b06000009_008,52,14,19,5,245
52bf1b0a03868f1b06000009_009,52,14,19,5,245
52bf1b0a03868f1b06000009_010,52,14,19,5,142
52bf1b0a03868f1b06000009_011,52,14,19,5,174
52bf1b0a03868f1b06000009_012,52,14,19,5,108
52bf1b0a03868f1b06000009_013,52,14,19,5,124
52bf19c503868f1b06000001_001,81,26,18,4,171
52bf19c503868f1b06000001_002,81,26,18,4,206
52bf19c503868f1b06000001_003,81,26,18,4,254
52bf19c503868f1b06000001_004,81,26,18,4,276
52bf19c503868f1b06000001_005,81,26,18,4,277
52bf19c503868f1b06000001_006,81,26,18,4,195
5505edac8e1671127b000005_001,37,12,38,8,234
56e2cec751531f7e33000015_001,52,13,22,8,210
56e2cec751531f7e33000015_002,52,13,22,8,210
56e2cec751531f7e33000015_003,52,13,22,8,210
5518e7da622b194345000004_001,63,13,25,10,271
5518e7da622b194345000004_002,63,13,3,3,271
5518e7da622b194345000004_003,63,13,3,3,157
5518e7da622b194345000004_004,63,13,3,3,213
5518e7da622b194345000004_005,63,13,3,3,169
5518e7da622b194345000004_006,63,13,3,3,446
5518e7da622b194345000004_007,63,13,3,3,292
5518e7da622b194345000004_008,63,13,3,3,198
5518e7da622b194345000004_009,63,13,3,3,216
5518e7da622b194345000004_010,63,13,3,3,258
5518e7da622b194345000004_011,63,13,3,3,311
5518e7da622b194345000004_012,63,13,3,3,230
5518e7da622b194345000004_013,63,13,3,3,318
5518e7da622b194345000004_014,63,13,3,3,292
5518e7da622b194345000004_015,63,13,3,3,249
5518e7da622b194345000004_016,63,13,3,3,266
5518e7da622b194345000004_017,63,13,3,3,178
5518e7da622b194345000004_018,63,13,3,3,178
5518e7da622b194345000004_019,63,13,25,10,372
5518e7da622b194345000004_020,63,13,3,3,372
5518e7da622b194345000004_021,63,13,3,3,249
5518e7da622b194345000004_022,63,13,25,10,372
5518e7da622b194345000004_023,63,13,3,3,372
552fac4fbc4f83e828000006_001,69,18,8,6,319
552fac4fbc4f83e828000006_002,69,18,8,6,257
552fac4fbc4f83e828000006_003,69,18,8,6,263
552fac4fbc4f83e828000006_004,69,18,8,6,263
552fac4fbc4f83e828000006_005,69,18,8,6,263
552fac4fbc4f83e828000006_006,69,18,8,6,263
552fac4fbc4f83e828000006_007,69,18,8,6,263
552fac4fbc4f83e828000006_008,69,18,8,6,257
552fac4fbc4f83e828000006_009,69,18,8,6,261
552fac4fbc4f83e828000006_010,69,18,8,6,257
552fac4fbc4f83e828000006_011,69,18,8,6,261
54cf7051f693c3b16b000013_001,66,14,21,5,269
54cf7051f693c3b16b000013_002,66,14,21,5,269
54cf7051f693c3b16b000013_003,66,14,21,5,269
54cf7051f693c3b16b000013_004,66,14,21,5,269
54cf7051f693c3b16b000013_005,66,14,21,5,335
54cf7051f693c3b16b000013_006,66,14,21,5,300
54e0d1491388e8454a000014_001,39,11,45,13,225
54e0d1491388e8454a000014_002,39,11,45,13,225
54e0d1491388e8454a000014_003,39,11,45,13,184
54e0d1491388e8454a000014_004,39,11,45,13,164
54e0d1491388e8454a000014_005,39,11,45,13,302
54e0d1491388e8454a000014_006,39,11,45,13,381
54e0d1491388e8454a000014_007,39,11,45,13,207
54e0d1491388e8454a000014_008,39,11,45,13,191
54e0d1491388e8454a000014_009,39,11,45,13,276
54e0d1491388e8454a000014_010,39,11,45,13,237
54e0d1491388e8454a000014_011,39,11,45,13,356
51404dd723fec90375000002_001,64,26,23,13,37
51404dd723fec90375000002_002,64,26,23,13,122
551c23bc6b348bb82c00000b_001,80,20,45,10,212
551c23bc6b348bb82c00000b_002,80,20,45,10,273
551c23bc6b348bb82c00000b_003,80,20,45,10,150
551c23bc6b348bb82c00000b_004,80,20,45,10,88
551c23bc6b348bb82c00000b_005,80,20,45,10,163
551c23bc6b348bb82c00000b_006,80,20,45,10,184
551c23bc6b348bb82c00000b_007,80,20,45,10,326
551c23bc6b348bb82c00000b_008,80,20,45,10,248
551c23bc6b348bb82c00000b_009,80,20,45,10,338
551c23bc6b348bb82c00000b_010,80,20,45,10,212
551c23bc6b348bb82c00000b_011,80,20,45,10,184
551c23bc6b348bb82c00000b_012,80,20,45,10,196
56c1f02cef6e39474100004c_001,36,10,38,8,188
56c1f02cef6e39474100004c_002,36,10,38,8,188
56c1f02cef6e39474100004c_003,36,10,38,8,188
56c1f02cef6e39474100004c_004,36,10,38,8,230
56c1f02cef6e39474100004c_005,36,10,38,8,230
56c1f02cef6e39474100004c_006,36,10,38,8,212
56c1f02cef6e39474100004c_007,36,10,38,8,188
550af222c2af5d5b7000000b_001,96,31,11,10,245
550af222c2af5d5b7000000b_002,96,31,11,10,245
550af222c2af5d5b7000000b_003,96,31,9,5,206
550af222c2af5d5b7000000b_004,96,31,9,5,191
550af222c2af5d5b7000000b_005,96,31,9,5,328
56c1f03bef6e394741000053_001,72,16,30,5,175
56c1f03bef6e394741000053_002,72,16,30,5,263
56c1f03bef6e394741000053_003,72,16,30,5,263
56c1f03bef6e394741000053_004,72,16,30,5,175
56c1f03bef6e394741000053_005,72,16,30,5,263
56c1f03bef6e394741000053_006,72,16,30,5,175
56c1f03bef6e394741000053_007,72,16,30,5,263
532498959b2d7acc7e000017_001,48,12,16,5,273
532498959b2d7acc7e000017_002,48,12,16,5,243
56cdf40d5795f9a73e00003d_001,82,17,30,10,181
56cdf40d5795f9a73e00003d_002,82,17,30,10,136
56cdf40d5795f9a73e00003d_003,82,17,30,10,257
56cdf40d5795f9a73e00003d_004,82,17,30,10,152
56cdf40d5795f9a73e00003d_005,82,17,30,10,178
56cdf40d5795f9a73e00003d_006,82,17,30,10,299
56cdf40d5795f9a73e00003d_007,82,17,30,10,181
56cdf40d5795f9a73e00003d_008,82,17,30,10,99
56cdf40d5795f9a73e00003d_009,82,17,30,10,178
56cdf40d5795f9a73e00003d_010,82,17,30,10,257
56cdf40d5795f9a73e00003d_011,82,17,30,10,152
56cdf40d5795f9a73e00003d_012,82,17,30,10,125
56cdf40d5795f9a73e00003d_013,82,17,30,10,99
56cdf40d5795f9a73e00003d_014,82,17,30,10,299
56cdf40d5795f9a73e00003d_015,82,17,30,10,181
56cdf40d5795f9a73e00003d_016,82,17,30,10,237
56cdf40d5795f9a73e00003d_017,82,17,30,10,269
56cdf40d5795f9a73e00003d_018,82,17,30,10,232
56cdf40d5795f9a73e00003d_019,82,17,30,10,178
56cdf40d5795f9a73e00003d_020,82,17,30,10,299
56cdf40d5795f9a73e00003d_021,82,17,30,10,181
56cdf40d5795f9a73e00003d_022,82,17,30,10,257
